# phonetok acoustic codebook: 64 units learned by k-means over log-mel frames
# learned from the formant synthesizer's speech: 28 sentences in 2 voices (212 s), tests/make_codebook.py; a codebook learned from recordings suits real speech better
rate	16000
frame	400
hop	160
fft	512
bands	40
fmin	20.0
fmax	8000.0
preemphasis	0.97
normalize	1
seed	1
inertia	855496.2948161648
units	64
mean	-11.987686221270778	-10.014229545421975	-9.205561244937805	-8.663169221103152	-8.57151275718609	-7.721804409063325	-7.681539632156167	-7.9590279025416315	-8.162068182040514	-8.233977063644524	-8.614915872226865	-8.641972458491045	-8.8850272211849	-8.979971966394526	-9.021960835152315	-9.065055725209007	-9.178550404347824	-9.26358523102741	-9.26855701404943	-9.242662375975103	-9.324044281401363	-9.445485807980823	-9.389977340417984	-9.336626957165652	-9.793580749850005	-10.639977811681822	-11.217249552448221	-11.543018418231023	-11.716626286871744	-11.684602741908598	-11.589101744908168	-11.456634172085915	-11.308211755887411	-11.157235946158766	-11.00488678127581	-10.857626720332958	-10.756543719388628	-10.69914526496528	-10.664591576816427	-10.628074403456012
q0	440	1.9555555555555555	2.4900073858905603	1.557111050661435	1.465332110346101	1.4205429483458745	1.7866841747102666	1.6082524976070307	1.8934242745251164	2.412106882848178	2.890381016133271	3.4237255926330703	4.093501949153971	4.4861414068404555	4.96143453776121	5.359931609597443	5.623138316091619	5.9461191654804555	6.370497910156111	6.833859072194933	7.126798149812094	7.348616867504017	7.779499584838353	8.210052449112084	8.43414784320472	8.836332641796117	9.641921892159605	10.877633591595641	11.689635639175417	12.382717937663019	12.731648461711218	12.815793488961942	12.849706882324481	12.758183523968583	12.554644944439097	12.306084574256925	12.050463636460819	11.822360717622093	11.618288391404361	11.52255247436167	11.437545937975475	11.361793482955846
q1	628	3.738095238095238	0.5745335577495607	1.5817259640162846	1.6146652627445084	1.6854819437173056	0.8396175038415014	1.503665815759849	2.117769522694392	2.934768165707619	3.3358304239712084	2.8883623568941217	1.7310232609646046	1.3119410480430471	0.7289523516758213	0.4831125491189771	0.23957269297195294	0.16290610629561614	0.465033025445945	0.9767987975479717	1.8639525697105346	3.071223247297272	3.1767282772563608	1.796231758972611	1.075999651289198	1.439269248462367	1.1589413315158086	-0.5012684964241162	-1.9406871991760157	-2.937977993441474	-3.5159336790933575	-3.894484537219546	-4.05719828811805	-4.163901710958919	-4.220552330471531	-4.3106979150977915	-4.338097990292518	-4.308358424500463	-4.321231382034408	-4.263030309564571	-4.196404359481999	-4.167752632842262
q2	250	3.5211267605633805	-11.104143981457135	-13.184832016343757	-14.019059851981382	-14.492163117509664	-14.638849213114925	-15.539400382500403	-15.58407028284819	-15.376200876891504	-15.244060447098816	-15.253113481412996	-14.83032273935861	-14.689591728348729	-14.413611143752576	-14.31836521121725	-14.245291277501796	-14.134541198763605	-13.893463171817809	-13.733840077574733	-13.63762674209557	-13.55525672203501	-13.364132890314583	-13.203394834345273	-13.343930200001639	-13.427961622455701	-12.84932920110752	-11.85511711109919	-11.225660757382851	-10.838921040268078	-10.65682206719502	-10.670210739588436	-10.770448354372885	-10.866157466309575	-10.98070377819722	-11.105975694608402	-11.25383271212055	-11.36419208826126	-11.450247518578726	-11.532263313711557	-11.56249597541504	-11.612162341202602
q3	421	2.2880434782608696	0.7494623417650763	1.834651110679057	2.006140509685293	2.2640069617294656	1.5660353583584208	2.505075316434116	3.236507674513596	3.0758990786866214	2.282618226550722	1.633309346562566	1.127537938892769	1.567936890572155	1.8789575362514976	2.342897878038973	1.9432810967904903	0.7324461547757518	-0.3602917622042197	-1.1438109013042441	-1.832823578336502	-2.257295632385592	-2.341523762131786	-2.0657848017607954	-1.80502856564664	-2.580837459488461	-3.6688991595247162	-4.10533649235255	-4.001461756713418	-3.844199291477091	-3.7643943540968787	-3.7187466454755236	-3.633292569611909	-3.5898440786612302	-3.597587560473087	-3.5811947675028493	-3.5475669972944375	-3.529372262330565	-3.5113718008494863	-3.478200365782844	-3.4195314564710215	-3.3953989390936146
q4	206	1.0404040404040404	0.969932667005607	1.0176547597559906	1.0774012462472538	1.049107226601966	1.3815944462308933	1.4678395450374169	1.3451997183447542	1.0423982965011618	0.611838545735477	0.430567181316317	0.6191790181113982	0.8069420434519152	1.0701762563931598	1.3050852306998668	1.612009637992481	1.8490637064624744	2.2469388177903764	2.493715552427498	2.7685882360741974	2.9919344990216663	3.3838153719250195	3.6632651461540755	3.726932020223449	4.049318954704791	4.862514470328377	5.984415159544382	6.912654222520505	7.5569908328307696	8.163144602914633	8.51197341591619	8.721495207526848	8.982865609535482	9.142761536710184	9.29901135256102	9.439932088581903	9.462108653941918	9.420912086492741	9.32665127198268	9.308920497609686	9.255744981966592
q5	509	2.184549356223176	1.7079547002236748	0.5229170872882899	0.3782958233481457	0.24229651821249024	1.0846569600371496	0.7605359863673321	0.34633683626093387	0.5370523029905807	0.6646233450302442	0.9756673867882936	1.6475677224476655	1.9074037723701864	2.4751821708664496	2.8120464587029796	3.157540094643701	3.4617423273976797	3.8331696256053758	4.158059480715741	4.4824469263691595	4.700301054577778	5.062733894428299	5.411345826417908	5.670224647883824	5.942775167757114	6.644483248634898	7.845065667997624	8.762644516463583	9.478762077062578	10.051491167744809	10.426154550748468	10.756869410721428	10.990190847290142	11.24870260530978	11.51891875882803	11.683868985555295	11.815243158104138	11.781687174029368	11.676917128877447	11.549663877014613	11.4689787357586
q6	308	2.1538461538461537	-10.207535726713187	-11.46586623157539	-11.43894436737625	-11.2038808164816	-10.689972202193307	-10.88975790506748	-11.355170845920755	-12.145419177376128	-12.34035224969199	-12.09507520424675	-11.646165489653933	-11.326850735099622	-10.867113274425382	-10.499119840962887	-10.560823206740368	-10.570828323919706	-10.258048133625595	-9.987854814301853	-9.871438917697045	-9.841127700467606	-9.799679674175566	-9.74112402440042	-9.69445051610154	-9.708960198884522	-9.192675266408425	-8.265218506495076	-7.608751927058094	-7.261110254648306	-6.955473475607433	-6.976060826236029	-6.9983248052039615	-7.133557791324522	-7.212499750442458	-7.275950523290889	-7.376317797259819	-7.502302498896531	-7.545268584935727	-7.587333365185328	-7.6157098172869455	-7.609881974240468
q7	286	1.8101265822784811	2.5806359255298426	1.379776260084489	1.2062642369780858	1.2960018606251285	1.634272803112412	1.2438123135884847	1.5773361392023721	2.2845635616361553	2.757699516746652	3.0928488116667765	3.733231921379543	4.066515661670937	4.681054885608307	5.0128410754253485	5.353450636810004	5.624352728746231	6.133703580301431	6.603090815694249	6.889056315983419	7.090565175260833	7.4240919033496695	7.7960678784964115	7.97216779594383	8.051495063161193	8.57644854908368	9.407471047155862	9.970432847095427	10.291196292937112	10.388970506337458	10.114739024645376	9.890871474484895	9.548238610142588	9.309923011533439	9.031265363627153	8.766769864787616	8.539380225964011	8.427042896306533	8.364053456541086	8.353497253535695	8.354411202499357
q8	424	4.711111111111111	0.5580352228792621	1.5437441526239077	1.5649554540905188	1.5876035069844532	1.0433997214539397	1.7662432839405384	2.459929743124547	3.0884554557670554	2.784491328787988	1.902468799174398	1.0709216593340045	0.9806711317577854	0.7700997320333011	0.9591652664252142	1.4100359860443026	2.379483489732669	3.5583711401455136	3.1964524418625824	2.210381675109056	1.6505850086317704	0.10583990158245346	-1.9360768833340287	-3.709621090352507	-5.268150814894038	-5.753602043821057	-5.419124550486057	-5.009629020172884	-4.472231461814331	-4.200376772496127	-4.3469483621821565	-4.24388697739406	-4.152965020605118	-4.237128065669526	-4.260165124382849	-4.205256214493989	-4.300410807655143	-4.275961280944819	-4.20896208871048	-4.163598589513005	-4.058933220396883
q9	179	6.392857142857143	2.958554728227639	4.467846214332682	4.98650271805042	5.224713811114952	4.2655031189741095	4.770113409456094	5.382163499932936	5.711576751044918	6.9140208458978085	7.512804456745603	6.705605992429628	6.614826456388105	6.134666538892955	6.360053300851615	6.911512626355025	7.518048950647263	6.967417696439655	6.050351227058608	4.998311434526927	4.159588823190538	3.5010925538318496	3.196991441006416	3.5439017219477953	4.093812323814911	3.3580918391580292	2.0482096240261245	1.1784934329927832	0.6748253288014223	0.3684341173406	0.4200525849700877	0.3983890398466832	0.4395071920598443	0.36021405039468013	0.37326418239878456	0.4059244659816931	0.4466859114154891	0.4313302323622105	0.4625364457801165	0.5284620320168849	0.5515934305744263
