# The voice: what each sound is made of, for the formant synthesizer (synth.py and its ports).
# phone kind  f1   f2   f3   b1  b2  b3   ms  voiced  nf    nbw   namp  amp   f1b  f2b  f3b
# kind: vowel | diph (a diphthong glides to f1b f2b f3b) | nasal | liquid | glide | stop | fric | affr | asp
# f1..f3: the formant targets in Hz (a stop's are its locus, where the next vowel's formants start from);
# b1..b3 their bandwidths; ms the steady duration; nf/nbw/namp the frication noise's centre, bandwidth and level.
IY   vowel   270 2290 3010  60  90 150  110 1  0    0    0.00 1.00  0    0    0
IH   vowel   390 1990 2550  60  90 150   80 1  0    0    0.00 0.95  0    0    0
EH   vowel   530 1840 2480  70 100 150   90 1  0    0    0.00 0.95  0    0    0
AE   vowel   660 1720 2410  80 110 160  120 1  0    0    0.00 1.00  0    0    0
AA   vowel   730 1090 2440  80 110 160  120 1  0    0    0.00 1.00  0    0    0
AO   vowel   570  840 2410  80 100 160  120 1  0    0    0.00 0.95  0    0    0
UH   vowel   440 1020 2240  70 100 150   80 1  0    0    0.00 0.90  0    0    0
UW   vowel   300  870 2240  60  90 150  110 1  0    0    0.00 0.90  0    0    0
AH   vowel   640 1190 2390  80 110 160   90 1  0    0    0.00 0.95  0    0    0
ER   vowel   490 1350 1690  80 100 150  110 1  0    0    0.00 0.90  0    0    0
EY   diph    530 1840 2480  70 100 150  140 1  0    0    0.00 0.95  390 2100 2600
AY   diph    660 1200 2400  80 110 160  160 1  0    0    0.00 1.00  390 2000 2550
AW   diph    660 1200 2400  80 110 160  160 1  0    0    0.00 1.00  440 1000 2240
OW   diph    570  840 2410  80 100 160  140 1  0    0    0.00 0.95  350  800 2240
OY   diph    570  840 2410  80 100 160  160 1  0    0    0.00 0.95  390 2000 2550
M    nasal   250 1000 2100 100 150 200   70 1  0    0    0.00 0.45  0    0    0
N    nasal   250 1700 2500 100 150 200   70 1  0    0    0.00 0.45  0    0    0
NG   nasal   250 2000 2600 100 150 200   80 1  0    0    0.00 0.45  0    0    0
L    liquid  350 1100 2600  80 120 180   60 1  0    0    0.00 0.60  0    0    0
R    liquid  350 1200 1600  80 120 180   70 1  0    0    0.00 0.60  0    0    0
W    glide   300  700 2200  70 100 160   60 1  0    0    0.00 0.60  0    0    0
Y    glide   250 2200 3000  60  90 150   60 1  0    0    0.00 0.60  0    0    0
B    stop    300  800 2200  80 120 180   70 1  1200 1500 0.15 0.35  0    0    0
D    stop    350 1700 2600  80 120 180   60 1  3500 1500 0.20 0.35  0    0    0
G    stop    300 2300 2600  80 120 180   70 1  2200 1200 0.20 0.35  0    0    0
P    stop    300  800 2200  80 120 180   90 0  1200 1500 0.30 0.00  0    0    0
T    stop    350 1700 2600  80 120 180   80 0  4000 1500 0.40 0.00  0    0    0
K    stop    300 2300 2600  80 120 180   90 0  2200 1200 0.40 0.00  0    0    0
F    fric    350 1400 2500 100 150 200   90 0  4500 2500 0.25 0.00  0    0    0
V    fric    350 1400 2500 100 150 200   60 1  4500 2500 0.15 0.35  0    0    0
TH   fric    350 1700 2600 100 150 200   80 0  5500 2500 0.20 0.00  0    0    0
DH   fric    350 1700 2600 100 150 200   50 1  5500 2500 0.12 0.35  0    0    0
S    fric    350 1800 2700 100 150 200  100 0  6000 1500 0.50 0.00  0    0    0
Z    fric    350 1800 2700 100 150 200   80 1  6000 1500 0.30 0.35  0    0    0
SH   fric    350 2000 2800 100 150 200  100 0  3200 1000 0.50 0.00  0    0    0
ZH   fric    350 2000 2800 100 150 200   80 1  3200 1000 0.30 0.35  0    0    0
HH   asp     500 1500 2500 150 200 250   60 0  0    0    0.30 0.00  0    0    0
CH   affr    350 2000 2800 100 150 200  110 0  3200 1000 0.50 0.00  0    0    0
JH   affr    350 2000 2800 100 150 200  100 1  3200 1000 0.30 0.35  0    0    0
